year,pop_name,reg,popwgt.absolute.hy,popwgt.relative.hy
2019,Hispanic,West,2.88225150240178e-05,1.00789288411377
2020,White,West,0.000162814958051214,1.05822493487724
2020,Black,West,-0.00084156106496417,0.699045844501928
2020,Native,West,0.00210579109689909,1.75306071966341
2020,Asian,West,-0.000683819686366099,0.755456395511801
2020,Pacific,West,0.00041625605025863,1.14885905882764
2020,Hispanic,West,0.000201349568011501,1.07200545714812
1999,White,Northeast,0.000920300565245197,1.00426981894092
1999,Black,Northeast,0.0212474505464363,1.09857949697702
1999,Native,Northeast,-0.133102806804984,0.382457311177739
1999,Asian,Northeast,-0.0428440804413537,0.801220956409762
1999,Pacific,Northeast,-0.124893043780457,0.420547260251375
1999,Hispanic,Northeast,-0.105642695861033,0.50986101628916
2000,White,Northeast,0.00076792544111462,1.00383368497843
2000,Black,Northeast,0.0206939378039146,1.10330955878781
2000,Native,Northeast,-0.122571877304783,0.388089077867297
2000,Asian,Northeast,-0.0412954015998326,0.793842536898079
2000,Pacific,Northeast,-0.116294561960231,0.419427080559801
2000,Hispanic,Northeast,-0.0996546555329277,0.502497852665333
2001,White,Northeast,0.0015605574346837,1.00739878591702
2001,Black,Northeast,0.0167598026507772,1.07946019099884
2001,Native,Northeast,-0.131515728095623,0.37646850075854
2001,Asian,Northeast,-0.0415298789528362,0.803101970678743
2001,Pacific,Northeast,-0.123136611245559,0.416194876968394
2001,Hispanic,Northeast,-0.106100783803209,0.496963733893429
2002,White,Northeast,0.0006545360836476,1.00330675142365
2002,Black,Northeast,0.0202324777918757,1.10221556368505
2002,Native,Northeast,-0.120893048468659,0.389241830786054
2002,Asian,Northeast,-0.036331434399461,0.816451643499717
2002,Pacific,Northeast,-0.113615528237613,0.426008253579035
2002,Hispanic,Northeast,-0.0985335512869617,0.50220321058597
2003,White,Northeast,0.000490838886528927,1.00279351293602
2003,Black,Northeast,0.0170102747308182,1.09681063136983
2003,Native,Northeast,-0.106838540661077,0.391949469382103
2003,Asian,Northeast,-0.0265900129738606,0.848668173508823
2003,Pacific,Northeast,-0.0992775970536382,0.434981092090798
2003,Hispanic,Northeast,-0.0808789253368347,0.53969351169934
2004,White,Northeast,-0.000237808186401761,0.998680712580514
2004,Black,Northeast,0.0206518966862419,1.1145704355217
2004,Native,Northeast,-0.10784699362622,0.401697712457871
2004,Asian,Northeast,-0.0218282246443424,0.878903655089757
2004,Pacific,Northeast,-0.098654726136567,0.452693613983137
2004,Hispanic,Northeast,-0.0800656221371141,0.55582030367815
2005,White,Northeast,-0.000514105124015674,0.997431058053115
2005,Black,Northeast,0.0282194556859091,1.14101034991351
2005,Native,Northeast,-0.120880357988958,0.395970575498914
2005,Asian,Northeast,-0.0344762183395986,0.827725110439003
2005,Pacific,Northeast,-0.113140985730215,0.434643596072491
2005,Hispanic,Northeast,-0.0994310258170078,0.503151162844124
2006,White,Northeast,0.000435376390787362,1.00237048898616
2006,Black,Northeast,0.020088072962373,1.10937330713843
2006,Native,Northeast,-0.111089478949008,0.395152351163994
2006,Asian,Northeast,-0.0300708365000457,0.836273651405518
2006,Pacific,Northeast,-0.102472733049721,0.442067851597595
2006,Hispanic,Northeast,-0.0909440915688006,0.504837717474893
2007,White,Northeast,0.000779257867994376,1.00399252009324
2007,Black,Northeast,0.0203825217795041,1.10442965172117
2007,Native,Northeast,-0.119507364204724,0.387705184028617
2007,Asian,Northeast,-0.0336400400141894,0.827645582790422
2007,Pacific,Northeast,-0.109066593905195,0.441198368918868
2007,Hispanic,Northeast,-0.0996278168044194,0.489557851419158
2008,White,Northeast,0.000845433975038362,1.00507105259185
2008,Black,Northeast,0.0145832916311386,1.08747299139523
2008,Native,Northeast,-0.104523710301484,0.373049525233566
2008,Asian,Northeast,-0.0224237348779394,0.865498735289718
2008,Pacific,Northeast,-0.0922691503587444,0.446554399409902
2008,Hispanic,Northeast,-0.0813383105726955,0.512119381495712
2009,White,Northeast,0.00160208999306692,1.01370482708614
2009,Black,Northeast,0.00668891850721051,1.0572193022435
2009,Native,Northeast,-0.0716351052969694,0.387208748796454
2009,Asian,Northeast,-0.0234171581827402,0.799681600202243
2009,Pacific,Northeast,-0.0665809786507748,0.430443480963362
2009,Hispanic,Northeast,-0.0609381208293632,0.478714421452827
2010,White,Northeast,-9.7595959943797e-05,0.998639633967866
2010,Black,Northeast,0.0096364003727742,1.13431940980665
2010,Native,Northeast,-0.039520560636371,0.44913264553607
2010,Asian,Northeast,-0.00930201914093312,0.870341447772306
2010,Pacific,Northeast,-0.0398376616967158,0.444712652008724
2010,Hispanic,Northeast,-0.0336095869927305,0.531524250334854
2011,White,Northeast,0.000781588057318629,1.01322834924815
2011,Black,Northeast,0.0041135418374916,1.06962154496054
2011,Native,Northeast,-0.0337692354033033,0.428456927437511
2011,Asian,Northeast,-0.0104304705050604,0.823464668668469
2011,Pacific,Northeast,-0.0344321646346646,0.417236874473367
2011,Hispanic,Northeast,-0.0293258789465441,0.503660572751261
2012,White,Northeast,0.000591227038181812,1.01630566441627
2012,Black,Northeast,0.00241757749075622,1.0666752443965
2012,Native,Northeast,-0.0216200480793708,0.403732870996732
2012,Asian,Northeast,-0.0072968429673507,0.798757727505641
2012,Pacific,Northeast,-0.0216208972046101,0.403709452664509
2012,Hispanic,Northeast,-0.0188286203060131,0.480718667611502
2013,White,Northeast,0.000545933932311612,1.01763464897303
2013,Black,Northeast,0.0018778456852223,1.06065779671212
2013,Native,Northeast,-0.0180183329895076,0.417975402254931
2013,Asian,Northeast,-0.0062787160084643,0.7971861680373
2013,Pacific,Northeast,-0.0182206701393851,0.41143954800388
2013,Hispanic,Northeast,-0.0156977877986347,0.492933190084334
2014,White,Northeast,0.000619177204796883,1.0218148944008
2014,Black,Northeast,0.00161070842915335,1.0567485915506
2014,Native,Northeast,-0.0166961706022923,0.411759354567587
2014,Asian,Northeast,-0.00692257585988491,0.756103325195152
2014,Pacific,Northeast,-0.0169810289390508,0.401723205808502
2014,Hispanic,Northeast,-0.0152640069619222,0.462217443685367
2015,White,Northeast,0.000402857031196937,1.0185094204481
2015,Black,Northeast,0.00146466339551805,1.06729452014783
2015,Native,Northeast,-0.0125786347269355,0.42206981436537
2015,Asian,Northeast,-0.00473428613141247,0.782481412158691
2015,Pacific,Northeast,-0.0126034025861127,0.420931845598265
2015,Hispanic,Northeast,-0.0112217119493068,0.484414150598264
2016,White,Northeast,0.000193175499501328,1.018373337518
2016,Black,Northeast,0.000661829913047611,1.06294806744811
2016,Native,Northeast,-0.00610684510368605,0.419164818779795
2016,Asian,Northeast,-0.00209143304034628,0.8010793022626
2016,Pacific,Northeast,-0.00606125011821847,0.42350145597906
2016,Hispanic,Northeast,-0.0051383569362619,0.511279812804434
2017,White,Northeast,0.000114770981204546,1.01674354047072
2017,Black,Northeast,0.000431367375459421,1.06293069060621
2017,Native,Northeast,-0.00387645906663442,0.434476828688822
2017,Asian,Northeast,-0.00120004280869214,0.824929915880689
2017,Pacific,Northeast,-0.00388964944570169,0.432552530025353
2017,Hispanic,Northeast,-0.00325595492363511,0.525000026465126
2018,White,Northeast,6.73172694534447e-05,1.00947518517659
2018,Black,Northeast,0.000660008535757883,1.09289894176059
2018,Native,Northeast,-0.00388802294742107,0.452744627095547
2018,Asian,Northeast,-0.00108740021074287,0.846943905456837
2018,Pacific,Northeast,-0.00395822139916912,0.442863903548333
2018,Hispanic,Northeast,-0.0032566388010748,0.541614567198106
2019,White,Northeast,6.77274161973674e-05,1.01420355396679
2019,Black,Northeast,0.00035568052653286,1.0745920608993
2019,Native,Northeast,-0.00270120621645391,0.433512594677635
2019,Asian,Northeast,-0.000780094981662713,0.836401242017262
2019,Pacific,Northeast,-0.00267675385015586,0.438640658375176
2019,Hispanic,Northeast,-0.00226899687162675,0.52415400843413
2020,White,Northeast,6.31507199036424e-05,1.01977965938798
2020,Black,Northeast,0.000143320076425154,1.04488978588802
2020,Native,Northeast,-0.00174479404131258,0.453506913428701
2020,Asian,Northeast,-0.000527434039335264,0.834800526999588
