year,pop_name,state_name,reg,relative_PWE_enhancement
2008,Black,Arizona,West,1.05199172715897
2001,Asian,Arizona,West,0.546734461979286
2009,Asian,Arizona,West,0.62430920892407
2017,Black,Arizona,West,0.866212847195192
2000,Hispanic,Arizona,West,0.892617929723987
2003,White,Arizona,West,1.0120310389976
2006,Pacific,Arizona,West,0.625717252206154
2009,Hispanic,Arizona,West,0.914646035537063
2006,White,Arizona,West,1.00912527910118
2012,Black,Arizona,West,0.9372860559242
2009,Pacific,Arizona,West,0.663697970752391
2017,Pacific,Arizona,West,0.808787908504429
2015,Asian,Arizona,West,0.670706343323156
2012,Native,Arizona,West,1.47983680377334
2018,Asian,Arizona,West,0.680085903145255
2018,Black,Arizona,West,0.872176925874389
2015,Hispanic,Arizona,West,1.02004086970599
1999,Hispanic,Arizona,West,0.897395349761858
2010,Black,Arizona,West,0.92583659956791
2002,Black,Arizona,West,0.964914015991748
1999,Native,Arizona,West,1.61488625820978
1999,Pacific,Arizona,West,0.611057895513487
2002,Hispanic,Arizona,West,0.943632454185076
2019,Asian,Arizona,West,0.62118733498015
1999,White,Arizona,West,1.01018454663166
2005,Black,Arizona,West,1.0098209576788
2013,Hispanic,Arizona,West,1.0652041455059
2016,Asian,Arizona,West,0.68832636989441
2005,Native,Arizona,West,1.53686595640101
2013,Native,Arizona,West,1.51580340967065
2019,Pacific,Arizona,West,0.755613379503879
2011,Asian,Arizona,West,0.593770477064987
2016,Hispanic,Arizona,West,1.00842791435924
2001,Hispanic,Arizona,West,0.850618576216327
2000,Native,Arizona,West,1.61979154666155
2016,Pacific,Arizona,West,0.802423431454755
2020,Hispanic,Arizona,West,1.08327418333734
2008,Pacific,Arizona,West,0.652583575113019
2006,Black,Arizona,West,1.05544430760553
2014,Black,Arizona,West,1.00435419755343
2008,White,Arizona,West,1.00905102431693
2006,Hispanic,Arizona,West,0.873866356711267
2014,Hispanic,Arizona,West,0.980699824559038
2011,Pacific,Arizona,West,0.659743523246784
2009,Black,Arizona,West,0.988479959717098
2018,Hispanic,Arizona,West,1.03945083739399
2015,Native,Arizona,West,1.593365999514
2014,Pacific,Arizona,West,0.716166067134707
2010,Hispanic,Arizona,West,0.983287988586073
2014,White,Arizona,West,1.02438364301993
2004,Black,Arizona,West,0.95446994074374
2007,Asian,Arizona,West,0.591451023357835
2015,White,Arizona,West,1.02951316250856
2009,White,Arizona,West,1.01768473155759
2017,White,Arizona,West,1.02698204912759
2004,Native,Arizona,West,1.56478084698269
2012,Pacific,Arizona,West,0.732344776169619
2010,White,Arizona,West,1.0198551269726
2019,White,Arizona,West,1.02923220806766
2013,Pacific,Arizona,West,0.840329545991261
2011,White,Arizona,West,1.02269807335744
2003,Black,Arizona,West,0.987942056841706
2015,Pacific,Arizona,West,0.833879262861763
2009,Native,Arizona,West,1.40980230860115
2010,Native,Arizona,West,1.5191436510326
2016,White,Arizona,West,1.02706184757876
2019,Black,Arizona,West,0.896640656459153
2014,Native,Arizona,West,1.36045544179042
2019,Hispanic,Arizona,West,0.962376931058555
2012,White,Arizona,West,1.02293722783881
2020,White,Arizona,West,1.02779118009017
2016,Native,Arizona,West,1.58653642281907
2004,Pacific,Arizona,West,0.735748214873086
2017,Native,Arizona,West,1.65376228846912
2004,Asian,Arizona,West,0.673562835398003
2013,Black,Arizona,West,0.874184960751041
2018,Pacific,Arizona,West,0.793077082329667
2017,Asian,Arizona,West,0.668001148074766
2017,Hispanic,Arizona,West,0.997938069736408
2008,Native,Arizona,West,1.49076959085587
2002,Native,Colorado,West,0.789360205387711
2020,Asian,Colorado,West,0.73076185774168
2013,Asian,Colorado,West,0.748160496420315
2003,Hispanic,Colorado,West,0.833222653034361
2018,Pacific,Colorado,West,0.752627262748271
2000,Hispanic,Colorado,West,0.836443602146282
2002,Asian,Colorado,West,0.704211314882907
2013,Pacific,Colorado,West,0.695000071559197
2010,Native,Colorado,West,0.867129776789703
1999,Hispanic,Colorado,West,0.796647078053164
2011,Black,Colorado,West,1.03996233799119
2020,Hispanic,Colorado,West,0.938718656309262
2003,Asian,Colorado,West,0.677004650098796
2003,Black,Colorado,West,0.954115420744619
2016,Native,Colorado,West,0.929524904757463
2011,Asian,Colorado,West,0.708198012710046
2010,Black,Colorado,West,0.910171198415268
2018,Black,Colorado,West,0.927168780953938
2020,Black,Colorado,West,0.953166964664869
2010,Hispanic,Colorado,West,0.872814249548272
2014,Black,Colorado,West,1.01853960877387
2005,White,Colorado,West,1.0190948521055
2005,Asian,Colorado,West,0.687757748152074
2005,Hispanic,Colorado,West,0.849333201023766
2019,Native,Colorado,West,0.91036195331617
2010,Pacific,Colorado,West,0.652605081929882
2011,Hispanic,Colorado,West,0.814743884819739
2008,Hispanic,Colorado,West,0.839385746287427
2019,White,Colorado,West,1.03017650932892
2019,Pacific,Colorado,West,0.694366721401618
2000,Black,Colorado,West,0.98193694151791
2016,Asian,Colorado,West,0.742292999555671
2013,Black,Colorado,West,0.959220619895735
1999,Native,Colorado,West,0.785865865278004
2019,Asian,Colorado,West,0.72205639947159
2010,White,Colorado,West,1.03156852177535
2008,Asian,Colorado,West,0.717152187753132
2001,Pacific,Colorado,West,0.587565532794151
2003,Native,Colorado,West,0.813043691215062
2009,Asian,Colorado,West,0.710460699584878
1999,Black,Colorado,West,1.03528491102674
2007,Hispanic,Colorado,West,0.791011286100221
2018,Asian,Colorado,West,0.741655319801467
2016,Pacific,Colorado,West,0.750007785840445
2020,Pacific,Colorado,West,0.715642749397709
2014,Asian,Colorado,West,0.715437503537327
2013,White,Colorado,West,1.02412511864057
2001,Native,Colorado,West,0.805327907281129
2014,Pacific,Colorado,West,0.656192691972712
2017,Hispanic,Colorado,West,0.952010740006554
2008,Black,Colorado,West,1.03370917026233
2019,Black,Colorado,West,0.943183302352665
2002,Black,Colorado,West,0.939358899427882
2008,White,Colorado,West,1.01510821059729
2005,Pacific,Colorado,West,0.652043400070026
2015,White,Colorado,West,1.03630446391817
2018,Native,Colorado,West,0.964552566702751
2007,Pacific,Colorado,West,0.624079720570818
2002,Hispanic,Colorado,West,0.844889979386285
1999,Pacific,Colorado,West,0.581670475870048
2018,White,Colorado,West,1.02839909702345
2002,Pacific,Colorado,West,0.620627036073348
2010,Asian,Colorado,West,0.705305180030623
2014,Native,Colorado,West,0.831056388035694
2001,Asian,Colorado,West,0.674177290886362
2004,Pacific,Colorado,West,0.646947642278659
2004,White,Colorado,West,1.02139760301862
2004,Asian,Colorado,West,0.708394875664761
2016,Hispanic,Colorado,West,0.922843504483451
2002,White,Colorado,West,1.02422034596272
2007,Native,Colorado,West,0.782256607989811
2000,Native,Colorado,West,0.817554398677494
2008,Native,Colorado,West,0.777576071445715
2014,Hispanic,Colorado,West,0.843302625538689
2000,Pacific,Colorado,West,0.60753383086478
2013,Hispanic,Colorado,West,0.908030349256098
2004,Native,Colorado,West,0.834461180990766
2012,Native,Colorado,West,0.887496714293708
2000,Asian,Colorado,West,0.675828227329626
2011,White,Colorado,West,1.01682481629949
2012,Pacific,Colorado,West,0.68324577992344
2019,Hispanic,Colorado,West,0.873971213550865
2012,White,Colorado,West,1.02590785807581
2005,Native,Colorado,West,0.870198879496076
2018,Hispanic,Colorado,West,0.928162566916714
2001,Hispanic,Colorado,West,0.780805862122078
2004,Hispanic,Colorado,West,0.846965729111352
2006,White,Colorado,West,1.01911081350581
1999,White,Colorado,West,1.01465294845245
2007,White,Colorado,West,1.01701367070236
2013,Native,Colorado,West,0.874742939833
2000,White,Colorado,West,1.01949029411212
2016,Black,Colorado,West,0.873685563934476
2007,Black,Colorado,West,1.03153827904513
2006,Black,Colorado,West,0.999855400402754
2003,White,Colorado,West,1.02357620639082
2017,Native,Colorado,West,0.968699891348491
2004,Black,Colorado,West,0.961172017830739
2009,Black,Colorado,West,0.992824939934217
2014,White,Colorado,West,1.02060314206574
2015,Pacific,Colorado,West,0.760691972584307
2016,White,Colorado,West,1.03470272941899
2017,Black,Colorado,West,0.925951627098122
2003,Pacific,Colorado,West,0.628184199064031
2017,White,Colorado,West,1.02873825513599
2017,Asian,Colorado,West,0.738498209764158
2011,Pacific,Colorado,West,0.624700681767563
2015,Black,Colorado,West,0.857818082427834
